,scVI,iMAP
iLISI,"{'mean': 0.338426538737797, 'std': 0.01329443727235642}","{'mean': 0.3895286380536859, 'std': 0.0}"
GraphConn,"{'mean': 0.9924993232426255, 'std': 0.0017134369558047117}","{'mean': 0.9595116736473844, 'std': 0.0}"
ASW_batch,"{'mean': 0.9190933963328505, 'std': 0.0015658668709888424}","{'mean': 0.8939754500294892, 'std': 1.1102230246251565e-16}"
BatchScore,"{'mean': 0.7717186665529152, 'std': 0.007788599854537933}","{'mean': 0.6873300988037516, 'std': 0.0}"
PCR,"{'mean': 0.8368554078983879, 'std': 0.019248833347725227}","{'mean': 0.5063046334844467, 'std': 0.0}"
ASW,"{'mean': 0.5984511330723763, 'std': 0.00196124952568804}","{'mean': 0.533445443958044, 'std': 0.0}"
ARI,"{'mean': 0.9050780052388545, 'std': 0.0012055555891750766}","{'mean': 0.5690715485839353, 'std': 0.0}"
NMI,"{'mean': 0.9155826207079872, 'std': 0.0016721878263730994}","{'mean': 0.7053400187145968, 'std': 0.0}"
BioScore,"{'mean': 0.8063705863397393, 'std': 0.0014098927456060195}","{'mean': 0.602619003752192, 'std': 0.0}"
