Method,Mean Time (s),Std Time (s),All Times (s),Type
scVI,205.02356696128845,1.1240941741565176,"[205.1013240814209, 203.42025923728943, 204.45967936515808, 205.28074193000793, 206.85583019256592]",Neural Network
iMAP,650.529369020462,3.273818405387504,"[646.8079512119293, 646.8216471672058, 654.9693081378937, 652.9759576320648, 651.0719809532166]",Neural Network
Harmony,49.48670053482056,,[49.48670053482056],Non-Neural Network
BBKNN,6.135774374008179,,[6.135774374008179],Non-Neural Network
Scanorama,31.207950592041016,,[31.207950592041016],Non-Neural Network
Combat,8.525348663330078,,[8.525348663330078],Non-Neural Network
