,Harmony,BBKNN,Scanorama,Combat
iLISI,0.16362706103956026,0.05463738248046506,0.1813961701555531,0.1345707940867807
GraphConn,0.9766474473373243,0.989311538337903,0.3789561967637418,0.9703562761588
ASW_batch,0.8595503955562988,0.8798870612949405,0.8930125362036958,0.9025450968794462
PCR,0.713671037849038,0.0,0.9938883933196434,0.9960582712976135
BatchScore,0.6783739854455553,0.48095899552832716,0.6118133241106585,0.75088260960566
ASW,0.5642272620052456,0.5503452196717262,0.49811183940794,0.5413411371409893
ARI,0.4855942573332088,0.2659272909053068,0.005833523142754972,0.40746354547275765
NMI,0.5474936733295147,0.4844007150899855,0.010920401220607162,0.4787038068746552
BioScore,0.5324383975559898,0.4335577418890062,0.1716219212571007,0.47583616316280075
