,iMAP
iLISI,"{'mean': 0.009534294490151671, 'std': 0.0011219731357673245}"
GraphConn,"{'mean': 0.9124238129862009, 'std': 0.0042230115165465005}"
ASW_batch,"{'mean': 0.8407549406560477, 'std': 0.003962691548911241}"
BatchScore,"{'mean': 0.56048072853196, 'std': 0.007119376092081416}"
PCR,"{'mean': 0.4792098659954395, 'std': 0.028290385189462353}"
ASW,"{'mean': 0.4922959010116756, 'std': 0.0033559889910720485}"
ARI,"{'mean': 0.05633556171085243, 'std': 0.007504144134238339}"
NMI,"{'mean': 0.27737229479011594, 'std': 0.010734937224984371}"
BioScore,"{'mean': 0.27533458583754794, 'std': 0.005101953875781049}"
