,Harmony,BBKNN,Scanorama,Combat
iLISI,8.881784197001252e-16,0.0,6.661338147750939e-16,8.881784197001252e-16
GraphConn,0.9609876000931247,0.8898996439691864,0.8938041244841135,0.9406712561810131
ASW_batch,0.8543517893967674,0.6243680331551239,0.6969141612870063,0.7536886308828739
BatchScore,0.6339864141242211,0.37856691928107755,0.4376532625347,0.6735892770398137
PCR,0.7206062670069915,0.0,0.15989476436767952,0.9999972210953672
ASW,0.5675858003088232,0.5475101545453072,0.5610972599334366,0.5901592671871185
ARI,0.2557486648702622,0.26063754040481146,0.2625919305767037,0.26932607583531354
NMI,0.5718726710881721,0.5844695216930439,0.5844047830952253,0.5554822663701948
BioScore,0.46506904542241917,0.46420573888105415,0.4693646578684552,0.4716558697975423
