Method,Mean Time (s),Std Time (s),All Times (s),Type
scVI,291.1456874370575,1.1458763899436226,"[292.648894071579, 290.21509313583374, 291.37387442588806, 291.9835968017578, 289.5069787502289]",Neural Network
iMAP,631.1944083690644,1.6759360669776096,"[631.2109458446503, 628.290774345398, 631.2845530509949, 631.6728711128235, 633.5128974914551]",Neural Network
Harmony,62.61471724510193,,[62.61471724510193],Non-Neural Network
BBKNN,9.531521558761597,,[9.531521558761597],Non-Neural Network
Scanorama,15.254798650741577,,[15.254798650741577],Non-Neural Network
Combat,11.827981948852539,,[11.827981948852539],Non-Neural Network
