Method,Mean Time (s),Std Time (s),All Times (s),Type
scVI,370.68947315216064,22.62072390228354,"[412.8777651786804, 374.21692299842834, 360.57318019866943, 349.0044496059418, 356.77504777908325]",Neural Network
iMAP,3348.9628538131715,162.68225419455925,"[3029.1703445911407, 3457.131177186966, 3403.1627657413483, 3388.744844675064, 3466.605136871338]",Neural Network
Harmony,330.1006877422333,,[330.1006877422333],Non-Neural Network
BBKNN,19.153194904327393,,[19.153194904327393],Non-Neural Network
Scanorama,70.10844540596008,,[70.10844540596008],Non-Neural Network
Combat,13.672673463821411,,[13.672673463821411],Non-Neural Network
