,scVI,iMAP
iLISI,"{'mean': 0.30897300173019193, 'std': 0.002452339641652665}","{'mean': 0.00893730401102302, 'std': 0.0}"
GraphConn,"{'mean': 0.9699067717164261, 'std': 0.008294902173488267}","{'mean': 0.8752769695684475, 'std': 0.0}"
ASW_batch,"{'mean': 0.9001253676110694, 'std': 0.0019099168423731318}","{'mean': 0.8639664877352182, 'std': 0.0}"
BatchScore,"{'mean': 0.7181466208679639, 'std': 0.005306183389767649}","{'mean': 0.49852667703940784, 'std': 0.0}"
PCR,"{'mean': 0.6935813424141679, 'std': 0.015385690222508701}","{'mean': 0.24592594684294275, 'std': 0.0}"
ASW,"{'mean': 0.5514202386140823, 'std': 0.002171280952901208}","{'mean': 0.4863926721736789, 'std': 0.0}"
ARI,"{'mean': 0.6429698356327279, 'std': 0.041096424474617685}","{'mean': 0.28890945151951186, 'std': 0.0}"
NMI,"{'mean': 0.765619763062879, 'std': 0.011197155357593557}","{'mean': 0.4818367003309062, 'std': 0.0}"
BioScore,"{'mean': 0.653336612436563, 'std': 0.017471606256166082}","{'mean': 0.41904627467469896, 'std': 0.0}"
