,iMAP
iLISI,"{'mean': 0.010818691484263118, 'std': 0.00465660478992294}"
GraphConn,"{'mean': 0.9891714227617617, 'std': 0.0013050200206005643}"
ASW_batch,"{'mean': 0.8822673621965962, 'std': 0.00505118375391905}"
BatchScore,"{'mean': 0.6651014939016511, 'std': 0.009518871087590494}"
PCR,"{'mean': 0.7781484991639832, 'std': 0.035293293541370716}"
ASW,"{'mean': 0.5282566394656897, 'std': 0.006063581956963007}"
ARI,"{'mean': 0.14519650219296273, 'std': 0.009118130633223339}"
NMI,"{'mean': 0.39326159118586795, 'std': 0.0033994269322901766}"
BioScore,"{'mean': 0.3555715776148401, 'std': 0.004367009927816698}"
