,iMAP
iLISI,"{'mean': 0.0036785601979602333, 'std': 0.004869421876461663}"
GraphConn,"{'mean': 0.8979480546076747, 'std': 0.02039132397587177}"
ASW_batch,"{'mean': 0.8458251650764282, 'std': 0.010291848946216636}"
BatchScore,"{'mean': 0.47131252085370434, 'std': 0.016846128014334424}"
PCR,"{'mean': 0.13779830353275407, 'std': 0.08187044703125883}"
ASW,"{'mean': 0.5001142974942923, 'std': 0.012361615386560124}"
ARI,"{'mean': 0.26522902087119554, 'std': 0.03987150575219178}"
NMI,"{'mean': 0.52313676478393, 'std': 0.021607296827084257}"
BioScore,"{'mean': 0.42949336104980596, 'std': 0.02024821075631572}"
