,iMAP
iLISI,"{'mean': 0.32878781277972124, 'std': 0.009906862114070504}"
GraphConn,"{'mean': 0.9517816907305944, 'std': 0.008723703478090162}"
ASW_batch,"{'mean': 0.9130651112874982, 'std': 0.004723224962071592}"
BatchScore,"{'mean': 0.7395605700813618, 'std': 0.0029422628427658963}"
PCR,"{'mean': 0.7646076655276334, 'std': 0.005312928485562488}"
ASW,"{'mean': 0.6160621672868729, 'std': 0.0012419353221721637}"
ARI,"{'mean': 0.9446817301702225, 'std': 0.004518289325465339}"
NMI,"{'mean': 0.9098979029350606, 'std': 0.004475635318225024}"
BioScore,"{'mean': 0.8235472667973852, 'std': 0.0032243591959043682}"
