,BBKNN
ARI,0.3594671923866406
ASW,0.5413737148046494
NMI,0.6097042931612227
asw_batch,0.8609114266407473
graph_connectivity,0.9593939393939394
ilisi,0.4207056734685574
pcr,0.0
