Method,Mean Time (s),Std Time (s),All Times (s),Type
scVI,364.97366151809695,11.181034540673945,"[353.85631918907166, 370.7785499095917, 384.2194769382477, 357.61015272140503, 358.4038088321686]",Neural Network
iMAP,3444.4839935779573,44.6319041070383,"[3476.754142999649, 3362.222021341324, 3483.440783262253, 3433.0733935832977, 3466.9296267032623]",Neural Network
Harmony,369.184326171875,,[369.184326171875],Non-Neural Network
BBKNN,17.017346143722534,,[17.017346143722534],Non-Neural Network
Scanorama,71.42251968383789,,[71.42251968383789],Non-Neural Network
Combat,13.088768720626831,,[13.088768720626831],Non-Neural Network
