,scVI,iMAP
iLISI,"{'mean': 0.3067739768204678, 'std': 0.005361424395961888}","{'mean': 0.12501677314173681, 'std': 0.0}"
GraphConn,"{'mean': 0.9665254815786686, 'std': 0.003800960732364024}","{'mean': 0.897033024388086, 'std': 0.0}"
ASW_batch,"{'mean': 0.8984499024922531, 'std': 0.0016291747156010263}","{'mean': 0.8507509676923931, 'std': 1.1102230246251565e-16}"
BatchScore,"{'mean': 0.7159958636678528, 'std': 0.005136841556582901}","{'mean': 0.6255812348783529, 'std': 0.0}"
PCR,"{'mean': 0.6922340937800222, 'std': 0.018089826326837078}","{'mean': 0.629524174291196, 'std': 0.0}"
ASW,"{'mean': 0.5531018063426018, 'std': 0.0017630826802686153}","{'mean': 0.5183280762284994, 'std': 0.0}"
ARI,"{'mean': 0.6577401342841876, 'std': 0.04423342517209871}","{'mean': 0.5362081752002428, 'std': 0.0}"
NMI,"{'mean': 0.7678006079716331, 'std': 0.012277484522611265}","{'mean': 0.5223968075174515, 'std': 0.0}"
BioScore,"{'mean': 0.6595475161994742, 'std': 0.018818052329360874}","{'mean': 0.5256443529820646, 'std': 0.0}"
