,Harmony,BBKNN,Scanorama,Combat
iLISI,0.2888300828253247,0.12506866216573728,0.24659954071718782,0.29552358760293757
GraphConn,0.9612014372043701,0.9139661209361072,0.8181456679650027,0.9688364140888297
ASW_batch,0.9382110170783404,0.8820739990466286,0.863382771922082,0.9257306654747197
BatchScore,0.7471159414570948,0.4802771955371183,0.5521979978781371,0.7975117344064054
PCR,0.8002212287203441,0.0,0.2806640109082757,0.9999562704591348
ASW,0.5350366210207647,0.5418598465621471,0.5321474663064863,0.537272535264492
ARI,0.7292421204524914,0.4319192171145344,0.31154403916243195,0.7280242232140743
NMI,0.7636858451151296,0.6735307156909371,0.5425045775180041,0.7741814528489636
BioScore,0.6759881955294619,0.5491032597892063,0.4620653609956407,0.67982607044251
