,scVI,iMAP
iLISI,"{'mean': 0.26699659838209333, 'std': 0.011388892945144356}","{'mean': 0.3778183722193447, 'std': 0.0}"
GraphConn,"{'mean': 0.9805017951333734, 'std': 0.008352976935231488}","{'mean': 0.9533795371395527, 'std': 1.1102230246251565e-16}"
ASW_batch,"{'mean': 0.8830653337995141, 'std': 0.004392214810210562}","{'mean': 0.8999691174535622, 'std': 1.1102230246251565e-16}"
BatchScore,"{'mean': 0.6693120261768873, 'std': 0.010564178363172267}","{'mean': 0.7536758557156031, 'std': 0.0}"
PCR,"{'mean': 0.5466843773925685, 'std': 0.026196464305478177}","{'mean': 0.7835363960499531, 'std': 0.0}"
ASW,"{'mean': 0.6186418771743775, 'std': 0.008953537659349742}","{'mean': 0.6135552600026131, 'std': 0.0}"
ARI,"{'mean': 0.948572123902599, 'std': 0.0012601505633809112}","{'mean': 0.9360934982357761, 'std': 1.1102230246251565e-16}"
NMI,"{'mean': 0.9172306970900597, 'std': 0.003215530135687705}","{'mean': 0.8929862259259108, 'std': 0.0}"
BioScore,"{'mean': 0.8281482327223454, 'std': 0.0033261193542874078}","{'mean': 0.8142116613881001, 'std': 0.0}"
