,Harmony,BBKNN,Scanorama,Combat
iLISI,0.35524520333248877,0.012439783700520948,0.2862117039849644,0.1667846520315822
GraphConn,0.9682115598115366,0.9018899532196663,0.8915269904405889,0.9679068577732923
ASW_batch,0.9008548959405788,0.8413240455117432,0.7905287536978491,0.9161928602570604
BatchScore,0.7639582750232957,0.4389134456079826,0.6361608713131142,0.7626818585230263
PCR,0.8315214410085786,0.0,0.5763760371290545,0.9998430640301704
ASW,0.6452779221663574,0.5941392630338669,0.6077862037094302,0.6168267503380775
ARI,0.9500378737628132,0.5006873004249693,0.39632599741656727,0.9293918037378023
NMI,0.9170489273544912,0.701692528976593,0.6644311146943188,0.9013464110759104
BioScore,0.8374549077612206,0.5988396974784764,0.5561811052734388,0.8158549883839301
