Method,Mean Time (s),Std Time (s),All Times (s),Type
scVI,110.6099907398224,16.96372004127219,"[114.46815395355225, 142.28111958503723, 98.61350798606873, 99.04484105110168, 98.64233112335205]",Neural Network
iMAP,3520.6231432914733,433.0550359433837,"[3479.3720395565033, 3279.154567718506, 3122.4907443523407, 4354.701596021652, 3367.396768808365]",Neural Network
Harmony,88.27986979484558,,[88.27986979484558],Non-Neural Network
BBKNN,6.85379695892334,,[6.85379695892334],Non-Neural Network
Scanorama,16.918866634368896,,[16.918866634368896],Non-Neural Network
Combat,3.8470866680145264,,[3.8470866680145264],Non-Neural Network
