,iMAP
iLISI,"{'mean': 0.12807523371967924, 'std': 0.01973615482702428}"
GraphConn,"{'mean': 0.9427975849466208, 'std': 0.011059325717317747}"
ASW_batch,"{'mean': 0.8393782008947632, 'std': 0.02181082815016533}"
BatchScore,"{'mean': 0.7082881132445069, 'std': 0.009617252898958038}"
PCR,"{'mean': 0.922901433416965, 'std': 0.014198084064821195}"
ASW,"{'mean': 0.5951102986931801, 'std': 0.0045805105427503545}"
ARI,"{'mean': 0.3135596185622601, 'std': 0.004378240171431303}"
NMI,"{'mean': 0.6055447561435259, 'std': 0.007905739657211667}"
BioScore,"{'mean': 0.504738224466322, 'std': 0.004569732691936644}"
